mill_name_,latitude,longitude,iso,certificat,group_name
Ayer Itam Oil Mill,1.9262,103.1856,MYS,None,Unknown
Bukit Lee Lau,3.303,103.1377,MYS,None,Unknown
Gemareksa Mekarsari,-2.1306,111.5589,IDN,None,Unknown
Astra Agro Lestari,-1.9906,115.5093,IDN,None,Unknown
THP Saribas,1.6236,111.3204,MYS,None,Unknown
Masranti Plantation,1.1158,110.8221,MYS,None,Unknown
K.K.S Rasau Kerteh,4.5733,103.3181,MYS,None,Unknown
AUMKAR OIL MILL,4.2633,117.8875,MYS,None,Unknown
K.K.S. LANGKON,6.5717,116.7083,MYS,None,Unknown
KILANG KELAPA SAWIT KUNAK,4.4695,118.1867,MYS,None,Unknown
Dupont & Leosk,2.5336,102.4094,MYS,None,Unknown
KILANG KELAPA SAWIT SEGARIA,4.4892,118.4377,MYS,None,Unknown
KKS SEGALIUD,5.8857,118.0422,MYS,None,Unknown
Palmawasi,-8.3353,-76.4911,PER,None,Unknown
PTPN IV (Adolina),3.5682,98.9471,IDN,None,Unknown
Serdang Cemerlang,3.7619,98.5941,IDN,None,Unknown
Sumber Sawit Makmur,3.276,99.2121,IDN,None,Unknown
KS BUKIT MENDI-PAHANG,3.2131,102.312,MYS,None,Unknown
Kechau,4.2931,102.077,MYS,None,Unknown
RUCHI SOYA INDS - GANDHIDHAM,23.1012,70.1575,IND,None,Unknown
El Roble S.A.,10.6718,-74.2152,COL,None,Unknown
Unico Oil Mill,5.4141,118.5281,MYS,None,Unknown
Sungai Buaya,-4.1364,105.4428,IDN,None,Unknown
Sungai Merah,-4.2183,105.5883,IDN,None,Unknown
Batu Ampar,-3.1981,116.0219,IDN,None,Unknown
Jelatang,-2.0722,102.4858,IDN,None,Unknown
Langling,-2.1008,102.3744,IDN,None,Unknown
Atlantica,5.7181,117.8277,MYS,None,Unknown
LIBO SAWIT PERKASA,0.9563,101.1405,IDN,None,Unknown
SANG GUAN,4.667,118.2035,MYS,None,Unknown
PT PERDANA INTISAWIT SEI AIR HITAM MILL,1.1402,100.4944,IDN,None,Unknown
Kilang Sawit United Bell,2.0094,102.6799,MYS,None,Unknown
Desa Kim Loong Palm Oil,3.7619,113.6583,MYS,None,Unknown
Kim Loong Sabah Mill,1.5655,103.468,MYS,None,Unknown
Keningau Palm Oil  Mill,2.3423,103.4385,MYS,None,Unknown
Genting SDC (Sabapalm Mill),6.6483,117.391,MYS,None,Unknown
Kilang Kelapa Sawit Pinangah,4.1512,100.7812,MYS,None,Unknown
Konsep Muktamad,4.4554,118.2228,MYS,None,Unknown
KRETAM,5.6598,117.8346,MYS,None,Unknown
Salim Ivomas Pratama - PKS Sungai Dua,1.75,100.5912,IDN,None,Unknown
Sumber Alam Makmur Sentosa,0.9595,100.7238,IDN,None,Unknown
Sumber Jaya Indahnusa,0.8922,100.699,IDN,None,Unknown
Anugerah Tanjung Medan,2.0631,100.1468,IDN,None,Unknown
Gunung Selamat Lestari,2.0399,100.045,IDN,None,Unknown
Herfinta,1.8511,100.1614,IDN,None,Unknown
PT MITRA NIAGA SEJATI JAYA,4.0532,98.1363,IDN,None,Unknown
Sumber Sawit Mekar,3.6532,98.431,IDN,None,Unknown
Incasi Raya (PKS Pangian),-1.3201,101.6486,IDN,None,Unknown
Incasi Raya (PKS Sodetan),-2.1842,100.9173,IDN,None,Unknown
Mega Sawindo Perkasa,-1.6843,102.2347,IDN,None,Unknown
