Year,Month,Day,PPOILUSDM
1990,1,1,230.555950628755
1990,2,1,223.945027313236
1990,3,1,236.340508529835
1990,4,1,220.639565655476
1990,5,1,232.208681457635
1990,6,1,224.771392727676
1990,7,1,230.555950628755
1990,8,1,240.472335602035
1990,9,1,234.687777700955
1990,10,1,239.645970187595
1990,11,1,274.353317594075
1990,12,1,285.922433396234
1991,1,1,288.401529639554
1991,2,1,279.311510080714
1991,3,1,287.575164225114
1991,4,1,263.610567206355
1991,5,1,262.784201791915
1991,6,1,256.999643890835
1991,7,1,281.790606324034
1991,8,1,279.311510080714
1991,9,1,266.916028864115
1991,10,1,285.096067981794
1991,11,1,299.144280027274
1991,12,1,310.713395829434
1992,1,1,316.497953730514
1992,2,1,315.671588316074
1992,3,1,327.240704118234
1992,4,1,333.025262019313
1992,5,1,323.935242460474
1992,6,1,333.851627433753
1992,7,1,315.671588316074
1992,8,1,315.671588316074
1992,9,1,323.315468399644
1992,10,1,326.414338703794
1992,11,1,341.288916163713
1992,12,1,331.372531190434
1993,1,1,338.809819920393
1993,2,1,351.205301136993
1993,3,1,337.157089091513
1993,4,1,323.935242460474
1993,5,1,305.755203342794
1993,6,1,294.186087540634
1993,7,1,299.144280027274
1993,8,1,294.186087540634
1993,9,1,290.88062588287403
1993,10,1,275.179683008515
1993,11,1,297.698140552004
1993,12,1,337.570271798733
1994,1,1,334.677992848193
1994,2,1,319.803415388274
1994,3,1,326.414338703794
1994,4,1,358.642589866953
1994,5,1,403.266322246712
1994,6,1,419.793630535512
1994,7,1,419.793630535512
1994,8,1,472.515733889314
1994,9,1,507.38836446615
1994,10,1,510.69382612391
1994,11,1,584.240348009069
1994,12,1,590.024905910148
1995,1,1,541.269346458189
1995,2,1,546.227538944829
1995,3,1,567.713039720269
1995,4,1,511.388216303471
1995,5,1,491.135341088728
1995,6,1,521.992873817422
1995,7,1,563.408459905275
1995,8,1,540.407867161051
1995,9,1,524.822751533498
1995,10,1,553.615576004107
1995,11,1,549.546243686869
1995,12,1,539.940828402367
1996,1,1,482.303139575902
1996,2,1,483.417085427136
1996,3,1,462.982925485876
1996,4,1,494.922948273802
1996,5,1,503.06834590085
1996,6,1,446.578799775659
1996,7,1,418.136566175585
1996,8,1,449.58684316085
1996,9,1,468.685010398336
1996,10,1,448.41244515357
1996,11,1,466.772402854877
1996,12,1,480.961622242465
1997,1,1,522.674908682214
1997,2,1,532.262345182564
